应用名称：小凯TV
应用包名：ehidbo.TV.bop

应用签名：12315
★UA验证：
附加字符：
 

央视频道|密码：,#genre#
CCTV-4,http://112.132.181.221:9988/hls/4/index.m3u8
CCTV-5,http://112.132.181.221:9988/hls/5/index.m3u8
CCTV-6,http://112.132.181.221:9988/hls/7/index.m3u8
CCTV-7,http://112.132.181.221:9988/hls/8/index.m3u8
CCTV-8,http://112.132.181.221:9988/hls/9/index.m3u8
CCTV-9,http://112.132.181.221:9988/hls/10/index.m3u8
CETV-1,http://ddns.cyruslee.top:8888/udp/239.77.1.222:5146
CETV-2,http://ddns.cyruslee.top:8888/udp/239.77.0.28:5146
CETV-4,http://ddns.cyruslee.top:8888/udp/239.77.1.200:5146
CCTV电视指南,http://114.97.214.158:8888/udp/238.1.79.53:4560
CCTV央视文化精品,http://114.97.214.158:8888/udp/238.1.79.54:4568
CCTV女性时尚,http://114.97.214.158:8888/udp/238.1.79.55:4576
CCTV兵器时代,http://114.97.214.158:8888/udp/238.1.79.56:4584
CCTV风云足球,http://114.97.214.158:8888/udp/238.1.79.57:4592
CCTV高尔夫,http://114.97.214.158:8888/udp/238.1.79.58:4600
CCTV央视台球,http://114.97.214.158:8888/udp/238.1.79.59:4608
CCTV世界地理,http://114.97.214.158:8888/udp/238.1.79.60:4616
CCTV怀旧剧场,http://114.97.214.158:8888/udp/238.1.79.61:4624
CCTV风云剧场,http://114.97.214.158:8888/udp/238.1.79.62:4632
CCTV第一剧场,http://114.97.214.158:8888/udp/238.1.79.63:4640
CCTV风云音乐,http://114.97.214.158:8888/udp/238.1.79.64:4648
CCTV兵器科技,http://sx.liuyun.wang:88/live/ysp.php?id=bqkj
CCTV高尔夫网球,http://ddns.cyruslee.top:8888/udp/239.253.43.22:5146
CCTV老故事,http://ddns.cyruslee.top:8888/udp/239.77.0.220:5146
VCTV老故事,http://ddns.cyruslee.top:8888/udp/239.77.1.197:5146
卫视频道|密码：,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
甘肃卫视,http://ottrrs.hl.china
浙江卫视,http://112.132.181.221:9988/hls/19/index.m3u8
辽宁卫视,http://112.132.181.221:9988/hls/30/index.m3u8
黑龙江卫视,http://112.132.181.221:9988/hls/31/index.m3u8
新疆卫视,http://112.132.181.221:9988/hls/36/index.m3u8
吉林卫视,http://112.132.181.221:9988/hls/42/index.m3u8
内蒙古卫视,http://112.132.181.221:9988/hls/43/index.m3u8
兵团卫视,http://112.132.181.221:9988/hls/46/index.m3u8
厦门卫视,http://112.132.181.221:9988/hls/47/index.m3u8
西藏卫视,http://112.132.181.221:9988/hls/48/index.m3u8
陕西卫视,http://112.132.181.221:9988/hls/50/index.m3u8
新闻综合,http://112.132.181.221:9988/hls/51/index.m3u8
电信专区|密码：,#genre#
CCTV1,http://222.223.119.21:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://222.223.119.21:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://222.223.119.21:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://222.223.119.21:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://222.223.119.21:8888/newlive/live/hls/6/live.m3u8
CCTV6,http://222.223.119.21:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://222.223.119.21:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://222.223.119.21:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://222.223.119.21:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://222.223.119.21:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://222.223.119.21:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://222.223.119.21:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://222.223.119.21:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://222.223.119.21:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://222.223.119.21:8888/newlive/live/hls/17/live.m3u8
北京卫视,http://222.223.119.21:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://222.223.119.21:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://222.223.119.21:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://222.223.119.21:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://222.223.119.21:8888/newlive/live/hls/23/live.m3u8
江浙卫视,http://222.223.119.21:8888/newlive/live/hls/24/live.m3u8
安徽卫视,http://222.223.119.21:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://222.223.119.21:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://222.223.119.21:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://222.223.119.21:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://222.223.119.21:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://222.223.119.21:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://222.223.119.21:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://222.223.119.21:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://222.223.119.21:8888/newlive/live/hls/34/live.m3u8
吉林卫视,http://222.223.119.21:8888/newlive/live/hls/35/live.m3u8
甘肃卫视,http://222.223.119.21:8888/newlive/live/hls/36/live.m3u8
西藏卫视,http://222.223.119.21:8888/newlive/live/hls/37/live.m3u8
新疆卫视,http://222.223.119.21:8888/newlive/live/hls/38/live.m3u8
青海卫视,http://222.223.119.21:8888/newlive/live/hls/39/live.m3u8
宁夏卫视,http://222.223.119.21:8888/newlive/live/hls/40/live.m3u8
陕西卫视,http://222.223.119.21:8888/newlive/live/hls/42/live.m3u8
天津卫视,http://222.223.119.21:8888/newlive/live/hls/43/live.m3u8
辽宁卫视,http://222.223.119.21:8888/newlive/live/hls/44/live.m3u8
黑龙江卫视,http://222.223.119.21:8888/newlive/live/hls/45/live.m3u8
江西卫视,http://222.223.119.21:8888/newlive/live/hls/46/live.m3u8
山西卫视,http://222.223.119.21:8888/newlive/live/hls/47/live.m3u8
河北卫视,http://222.223.119.21:8888/newlive/live/hls/48/live.m3u8
电视剧频道|密码：,#genre#
狂飙,https://lunbo.freetv.top/yy/1382754187
武林外传,https://lunbo.freetv.top/yy/21092633
神雕侠侣,https://lunbo.freetv.top/yy/1351762426
济公游记,https://lunbo.freetv.top/yy/1355265814
举起手来,https://lunbo.freetv.top/yy/1382736877
封神榜,https://lunbo.freetv.top/yy/1353426319
天龙八部,https://lunbo.freetv.top/yy/1351814644
新三国演义,https://lunbo.freetv.top/yy/1382705738
火凤凰之战狼七,https://lunbo.freetv.top/yy/1463088777
少年包青天,https://lunbo.freetv.top/yy/38498680
宰相刘罗锅,https://lunbo.freetv.top/yy/1353892468
地下交通站,https://lunbo.freetv.top/yy/1353428972
射雕英雄传83版,https://lunbo.freetv.top/yy/1354210357
神探狄仁杰2,https://lunbo.freetv.top/yy/1382828767
无敌燕双鹰,https://lunbo.freetv.top/yy/1354825244
西游记后传,https://lunbo.freetv.top/yy/1382736846
正阳门下,https://lunbo.freetv.top/yy/1354931580
情满四合院,https://lunbo.freetv.top/yy/1382735541
火蓝刀锋,https://lunbo.freetv.top/yy/1382737892
幸福满院,https://lunbo.freetv.top/yy/1382737886
一剑开天门,https://lunbo.freetv.top/yy/34313906
雪豹,https://lunbo.freetv.top/yy/28099939
血色浪漫,https://lunbo.freetv.top/yy/1354926676
新水浒传,https://lunbo.freetv.top/yy/1353215589
摸金校尉,https://lunbo.freetv.top/yy/1459714870
炊事班的故事1,https://lunbo.freetv.top/yy/1382749901
炊事班的故事2,https://lunbo.freetv.top/yy/1382736885
石敢当,https://lunbo.freetv.top/yy/1394156613
新白娘子传奇,https://lunbo.freetv.top/yy/1354490667
东北一家人,https://lunbo.freetv.top/yy/1355273385
鹊刀门传奇,https://lunbo.freetv.top/yy/1382745997
倚天屠龙记,https://lunbo.freetv.top/yy/1354755003
再向虎山行,https://lunbo.freetv.top/yy/1355823667
父母爱情,https://lunbo.freetv.top/yy/1382746276
笑傲江湖,https://lunbo.freetv.top/yy/1354930909
小兵张嘎,https://lunbo.freetv.top/yy/1354930225
二号交通站,https://lunbo.freetv.top/yy/1382735582
法证先锋Ⅱ,https://lunbo.freetv.top/yy/1382851597
康熙王朝,https://lunbo.freetv.top/yy/1382851583
士兵突击,https://lunbo.freetv.top/yy/1382828766
雪中悍刀行,https://lunbo.freetv.top/yy/1450496699
安家,https://lunbo.freetv.top/yy/12086226
天下第一,https://lunbo.freetv.top/yy/1354780649
寻秦记,https://lunbo.freetv.top/yy/1382851591
读心神探,https://lunbo.freetv.top/yy/1382736875
伪装者,https://lunbo.freetv.top/yy/1382851593
我的体育老师,https://lunbo.freetv.top/yy/1382745169
欢天喜地七仙女,https://lunbo.freetv.top/yy/1382735553
粟裕大将-影视,https://lunbo.freetv.top/yy/1354926542
生逢灿烂的日子,https://lunbo.freetv.top/yy/1382745085
传奇英雄,https://lunbo.freetv.top/yy/1382735578
大明王朝,https://lunbo.freetv.top/yy/1382736879
大江大河2,https://lunbo.freetv.top/yy/1382736797
最美的青春,https://lunbo.freetv.top/yy/1382851530
厨神小福贵,https://lunbo.freetv.top/yy/1354926537
易中天品三国,https://lunbo.freetv.top/yy/1461244449
西游记张卫健版,https://lunbo.freetv.top/yy/1354936155
仙剑奇侠传,https://lunbo.freetv.top/yy/1382749903
魔幻手机,https://lunbo.freetv.top/yy/1382735544
斗破苍穹,https://lunbo.freetv.top/yy/1356051105
红楼梦1987经典版,https://lunbo.freetv.top/yy/1382745084
穿越时空的爱恋,https://lunbo.freetv.top/yy/1382735567
黑冰,https://lunbo.freetv.top/yy/1354932427
施公奇案,https://lunbo.freetv.top/yy/1382749918
三国演义94版,https://lunbo.freetv.top/yy/1354930932
无敌县令,https://lunbo.freetv.top/yy/1354932390
欢乐颂,https://lunbo.freetv.top/yy/1382735624
以家人之名,https://lunbo.freetv.top/yy/1382736908
大汉贤后卫子夫,https://lunbo.freetv.top/yy/1382735569
我爱我家,https://lunbo.freetv.top/yy/1382735557
粉红女郎,https://lunbo.freetv.top/yy/1354888671
平凡岁月,https://lunbo.freetv.top/yy/1382745117
大唐双龙传,https://lunbo.freetv.top/yy/1354930979
鹿鼎记-陈小春版,https://lunbo.freetv.top/yy/1382736920
河山,https://lunbo.freetv.top/yy/1382749952
飓风营救,https://lunbo.freetv.top/yy/1382735547
战火中的故事,https://lunbo.freetv.top/yy/1382735625
我的父亲我的兵,https://lunbo.freetv.top/yy/1353413714
大汉天子S2,https://lunbo.freetv.top/yy/1382736807
忠烈杨家将,https://lunbo.freetv.top/yy/1382749909
渴望,https://lunbo.freetv.top/yy/1354930963
谈判专家,https://lunbo.freetv.top/yy/1382735560
第8号当铺,https://lunbo.freetv.top/yy/1382736905
大江大河,https://lunbo.freetv.top/yy/1382736806
编辑部的故事,https://lunbo.freetv.top/yy/1354936120
降服魔女的手段-泰剧,https://lunbo.freetv.top/yy/1354932405
宫心计,https://lunbo.freetv.top/yy/1354932429
大太监,https://lunbo.freetv.top/yy/1382736886
大时代,https://lunbo.freetv.top/yy/1354930891
巾帼枭雄之义海豪情,https://lunbo.freetv.top/yy/1382736859
小公举,https://lunbo.freetv.top/yy/1382745124
暮光之城全季,https://lunbo.freetv.top/yy/1354930181
缺宅男女-精彩港剧,https://lunbo.freetv.top/yy/1382745088
法外风云,https://lunbo.freetv.top/yy/1382736805
财阀女与军官的浪漫爱情-韩剧,https://lunbo.freetv.top/yy/1354889042
怪医文三块,https://lunbo.freetv.top/yy/1354936154
苦乐村官,https://lunbo.freetv.top/yy/1382736864
雍正王朝,https://lunbo.freetv.top/yy/23206872
守望的天空-泪目电视剧,https://lunbo.freetv.top/yy/1382736843
大明宫词,https://lunbo.freetv.top/yy/1382745190
金婚,https://lunbo.freetv.top/yy/1382736832
飞虎之雷霆极战,https://lunbo.freetv.top/yy/1382736869
嫦娥,https://lunbo.freetv.top/yy/1354658064
娘亲舅大,https://lunbo.freetv.top/yy/1354932360
俺娘田小草,https://lunbo.freetv.top/yy/1382741638
名媛望族-精彩港剧,https://lunbo.freetv.top/yy/1354932431
回家的诱惑,https://lunbo.freetv.top/yy/1382851148
霸道总裁爱上女秘书,https://lunbo.freetv.top/yy/1354936167
金装四大才子,https://lunbo.freetv.top/yy/1354926600
功夫婆媳-家庭剧,https://lunbo.freetv.top/yy/1382736883
家有九凤,https://lunbo.freetv.top/yy/1354930894
钟馗传说,https://lunbo.freetv.top/yy/1382736839
妖神记,https://lunbo.freetv.top/yy/1382745171
飞虎之潜行极战,https://lunbo.freetv.top/yy/1354932420
冲上云霄2,https://lunbo.freetv.top/yy/1354933556
毒液：致命守护者,https://lunbo.freetv.top/yy/1382745095
多重人格,https://lunbo.freetv.top/yy/1382749953
东邪西毒,https://lunbo.freetv.top/yy/1382745189
碧血盐枭,https://lunbo.freetv.top/yy/1354936178
甲午大海战,https://lunbo.freetv.top/yy/1354936195
仙灵儿,https://lunbo.freetv.top/yy/1382736887
武林客栈,https://lunbo.freetv.top/yy/1382773728
家族荣耀,https://lunbo.freetv.top/yy/1382745103
溏心风暴之家好月圆,https://lunbo.freetv.top/yy/1354888747
丁大命,https://lunbo.freetv.top/yy/1382735579
消失的子弹,https://lunbo.freetv.top/yy/1354930903
民兵葛二蛋,https://lunbo.freetv.top/yy/1382736895
跳跃生命线,https://lunbo.freetv.top/yy/1382735566
老九门,https://lunbo.freetv.top/yy/1356336883
原始拓荒客,https://lunbo.freetv.top/yy/1382749913
我的特一营,https://lunbo.freetv.top/yy/1507519895
我是特种兵利刃出鞘,https://lunbo.freetv.top/yy/1354127609
百视频道|密码：,#genre#
百视TV1,https://bp-caster.bestv.com.cn/943/3/video.m3u8
百视TV2,https://bp-caster.bestv.com.cn/926/3/video.m3u8
百视TV3,https://bp-caster.bestv.com.cn/945/3/video.m3u8
百视TV4,https://bp-caster.bestv.com.cn/900/3/video.m3u8
百视TV5,https://bp-caster.bestv.com.cn/956/3/video.m3u8
百视TV6,https://bp-caster.bestv.com.cn/947/3/video.m3u8
百视TV7,https://bp-caster.bestv.com.cn/941/3/video.m3u8
百视TV8,https://bp-caster.bestv.com.cn/953/3/video.m3u8
百视TV9,https://bp-caster.bestv.com.cn/939/3/video.m3u8
百视TV10,https://bp-caster.bestv.com.cn/938/3/video.m3u8
百视TV11,https://bp-caster.bestv.com.cn/937/3/video.m3u8
百视TV12,https://bp-caster.bestv.com.cn/954/3/video.m3u8
百视TV14,https://bp-caster.bestv.com.cn/934/3/video.m3u8
百视独播1,https://bp-caster.bestv.com.cn/946/3/video.m3u8
百视独播2,https://bp-caster.bestv.com.cn/955/3/video.m3u8
百视独播3,https://bp-caster.bestv.com.cn/940/3/video.m3u8
百视独播4,https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视自制,https://bp-caster.bestv.com.cn/723/3/video.m3u8
独家直播,https://bp-caster.bestv.com.cn/936/3/video.m3u8
NEWTV|密码：,#genre#
NewTV金牌综艺,http://39.134.66.110/PLTV/88888888/224/3221225525/index.m3u8
NewTV精品大剧,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/1.m3u8
NewTV记录,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/1.m3u8
NewTV爱情喜剧,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧,http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTV古装剧场,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8
NewTV惊悚悬疑,http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8
NewTV精品纪录,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
NewTV军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
NewTV军事评论,http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
NewTV农业致富,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV武搏世界,http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8
NewTV炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTV怡伴健康,http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8
NewTV中国功夫,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8
国际频道|密码：,#genre#
CGTN,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN-拉美,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN-Français(法语),http://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN-Pyccкий(俄语),http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN-العربية(阿语),http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
CGTN-西班牙语,https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
半岛英语,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛阿语,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
金砖电视,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_2.m3u8
新加坡1,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡2,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新马亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
日本华语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
日本全天新聞,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
日本·NHK国际频道,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
时尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
欧洲体育,http://europa-crtvg.flumotion.com/playlist.m3u8
欧洲华文1,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
欧洲华文2,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华文6,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1662611110-0-0-cf20c4fcf669736034b6ceac0d01d403
动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
韩·SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩·JobPlusTV,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
韩·GS,https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8
韩·KoreaTV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
韩·KBS,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
韩·EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩·EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩·EBSe,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩.KBS世界,https://wms4-韩.kortv.akamaized.net/a_live/63719963/smil:20ch011.smil/playlist.m3u8
韩.KBS,https://code.vthanhtivi.pw/getlink/kbs/81/playlist.m3u8
韩.KBS1,http://mytv.dothome.co.kr/ch/public/1.php
韩.KBS2,http://183.99.22.189:9981/stream/channelid/806525648?ticket=89FC36A507B8BF3BEE410174A9F90617BB018964&profile=pass
韩.EBS,http://183.99.22.189:9981/stream/channelid/1358704792?韩.ticket=486A92F5229947808649CA1BA6D2AF3BD1F1DC5D&profile=pass
韩.JTV,https://tistory1.daumcdn.net/tistory/2864485/skin/images/Public_58.m3u8
韩.测试1,http://175.207.220.199:9981/stream/channelid/135345991?ticket=
韩.测试2,http://14.49.86.138:9981/stream/channelid/700704486?ticket=12A688862E2C825D5DA3DC122595142CB94F750F&profile=pass
韩.测试3,http://14.49.86.138:9981/stream/channelid/1308141696?ticket=BAF2BAD0CC12EE136DB2D5CC0131D42B23D4EFB5&profile=pass
韩.올레,http://14.49.86.138:9981/stream/channelid/1715507632?ticket=FE046EE785484561DCCCC775D7128F78C827F9B1&profile=pass
韩.频道预览2,http://175.207.220.199:9981/stream/channelid/454725470?ticket=
韩.频道预览3,http://175.207.220.199:9981/stream/channelid/256178647?ticket=
韩.频道预览4,http://175.207.220.199:9981/stream/channelid/1204857893?ticket=
俄·IGITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
美·NASA,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
美·红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
希·FoxTV,http://live.streams.ovh:1935/foxtv/foxtv/playlist.m3u8
InsightTV,https://insighttv-samsung-canada.amagi.tv/playlist.m3u8
Самара,http://live.guberniatv.cdnvideo.ru/guberniatv/guberniatv.sdp/playlist.m3u8
HELLOVENUS,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgnIS24gUoptqYDQ.mp4
日本QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
NHK,http://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
纬來日本,http://lzoq.71.gay/gt/%E8%83%BD%E7%9C%8B%E5%A4%9A%E4%B9%85%E9%9A%8F%E7%BC%98.php?id=1026
Taiwan,http://lzoq.71.gay/gt/%E8%83%BD%E7%9C%8B%E5%A4%9A%E4%B9%85%E9%9A%8F%E7%BC%98.php?id=1238
Bloomberg,1066,#genre#
卫视电影,http://lzoq.71.gay/gt/%E8%83%BD%E7%9C%8B%E5%A4%9A%E4%B9%85%E9%9A%8F%E7%BC%98.php?id=1031
好来坞电影,http://lzoq.71.gay/gt/%E8%83%BD%E7%9C%8B%E5%A4%9A%E4%B9%85%E9%9A%8F%E7%BC%98.php?id=1025
HBO,http://lzoq.71.gay/gt/%E8%83%BD%E7%9C%8B%E5%A4%9A%E4%B9%85%E9%9A%8F%E7%BC%98.php?id=1029
