📡中国 👉春,#genre#
CCTV3,http://jh.d7g.cn/v/ysptv.php?id=cctv3
CCTV4,http://jh.d7g.cn/v/ysptv.php?id=cctv4
CCTV5,http://jh.d7g.cn/v/ysptv.php?id=cctv5
CCTV5+,http://jh.d7g.cn/v/ysptv.php?id=cctv5p
CCTV6,http://jh.d7g.cn/v/ysptv.php?id=cctv6
CCTV7,http://jh.d7g.cn/v/ysptv.php?id=cctv7
CCTV8,http://jh.d7g.cn/v/ysptv.php?id=cctv8
CCTV9,http://jh.d7g.cn/v/ysptv.php?id=cctv9
CCTV10,http://jh.d7g.cn/v/ysptv.php?id=cctv10
CCTV11,http://jh.d7g.cn/v/ysptv.php?id=cctv11
CCTV12,http://jh.d7g.cn/v/ysptv.php?id=cctv12
CCTV13,http://jh.d7g.cn/v/ysptv.php?id=cctv13
CCTV14,http://jh.d7g.cn/v/ysptv.php?id=cctv14
CCTV15,http://jh.d7g.cn/v/ysptv.php?id=cctv15
CCTV16,http://jh.d7g.cn/v/ysptv.php?id=cctv16
CCTV17,http://jh.d7g.cn/v/ysptv.php?id=cctv16-4kCCTV17,http://jh.d7g.cn/v/ysptv.php?id=cctv17

CCTV01极速,https://angtv.cn/test/bestv.php?id=cctv1hd8m/8000000
CCTV02极速,https://angtv.cn/test/bestv.php?id=cctv2hd8m/8000000
CCTV03极速,https://angtv.cn/test/bestv.php?id=cctv38m/8000000
CCTV04极速,https://angtv.cn/test/bestv.php?id=cctv4hd8m/8000000
CCTV05+极,https://angtv.cn/test/bestv.php?id=cctv5hd8m/8000000
CCTV06极速,https://angtv.cn/test/bestv.php?id=cctv6hd8m/8000000
CCTV07极速,https://angtv.cn/test/bestv.php?id=cctv7hd8m/8000000
CCTV08极速,https://angtv.cn/test/bestv.php?id=cctv8hd8m/8000000
CCTV09极速,https://angtv.cn/test/bestv.php?id=cctv9hd8m/8000000
CCTV10极速,https://angtv.cn/test/bestv.php?id=cctv10hd8m/8000000
CCTV11极速,https://angtv.cn/test/bestv.php?id=cctv11hd8m/8000000
CCTV12极速,https://angtv.cn/test/bestv.php?id=cctv12hd8m/8000000
CCTV13极速,https://angtv.cn/test/bestv.php?id=cctv13xwhd8m/8000000
CCTV14极速,https://angtv.cn/test/bestv.php?id=cctvsehd8m/8000000
CCTV15极速,https://angtv.cn/test/bestv.php?id=cctv15hd8m/8000000
CCTV16极速,https://angtv.cn/test/bestv.php?id=cctv16hd8m/8000000
CCTV17极速,https://angtv.cn/test/bestv.php?id=cctv17hd8m/8000000

CCTV1@高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2@高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3@高清,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4@高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5@高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5++++,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6@高清,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7@高清,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8@高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV9@高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-10高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-11高清,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV-12高清,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV-13高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-14高清,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-15高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-16高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8

CCTV-01咪咕HD,http://8.210.232.168/php/migu.php?id=cctv1
CCTV-01咪咕H2,http://8.210.232.168/php/migu.php?id=cctv1b
CCTV-02咪咕HD,http://8.210.232.168/php/migu.php?id=cctv2
CCTV-03咪咕HD,http://8.210.232.168/php/migu.php?id=cctv3
CCTV-04咪咕HD,http://8.210.232.168/php/migu.php?id=cctv4
CCTV-04欧洲HD,http://8.210.232.168/php/migu.php?id=cctv4o
CCTV-04美洲HD,http://8.210.232.168/php/migu.php?id=cctv4a
CCTV-05咪咕HD,http://8.210.232.168/php/migu.php?id=cctv5
CCTV-05咪咕D2,http://8.210.232.168/php/migu.php?id=cctv5b
CCTV-05+咪咕H,http://8.210.232.168/php/migu.php?id=cctv5p
CCTV-05+咪咕G2,http://8.210.232.168/php/migu.php?id=cctv5p2
CCTV-06咪咕HD,http://8.210.232.168/php/migu.php?id=cctv6
CCTV-07咪咕HD,http://8.210.232.168/php/migu.php?id=cctv7
CCTV-08咪咕HD,http://8.210.232.168/php/migu.php?id=cctv8
CCTV-09咪咕HD,http://8.210.232.168/php/migu.php?id=cctv9
CCTV-10咪咕HD,http://8.210.232.168/php/migu.php?id=cctv10
CCTV-11咪咕HD,http://8.210.232.168/php/migu.php?id=cctv11
CCTV-12咪咕HD,http://8.210.232.168/php/migu.php?id=cctv12
CCTV-13咪咕HD,http://8.210.232.168/php/migu.php?id=cctv13
CCTV-14咪咕HD,http://8.210.232.168/php/migu.php?id=cctv14
CCTV-15咪咕HD,http://8.210.232.168/php/migu.php?id=cctv15
CCTV-17咪咕HD,http://8.210.232.168/php/migu.php?id=cctv17

CCTV01咪咕,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3831204341_1349411946/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115080246&ContentId=265183188&timezone=UTC&mtv_session=01b97ad3f1d61532d8f0d40578ee3f47&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ac6f75650a73ab06efc36233598f26b8
CCTV02咪咕,http://hms104nc1972679566.live.aikan.miguvideo.com/wh7f454c46tw3468827325_440542616/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208125733&ContentId=265667329&timezone=UTC&mtv_session=f739dcaed0e05c0e9e14fa47d0810c20&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c4d54a337744e33e655349fe312a5eed
CCTV03咪咕,http://hms44nc1972679560.live.aikan.miguvideo.com/wh7f454c46tw3692367231_1716696590/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130116&ContentId=265667206&timezone=UTC&mtv_session=09b9584da7231a3b6c6b2c20aa3572d6&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f9cf165e747cb07e1e8dd89226e53387
CCTV04咪咕,http://hms284nc1972679584.live.aikan.miguvideo.com/wh7f454c46tw3805527088_-1274597418/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130309&ContentId=265667639&timezone=UTC&mtv_session=2dd2ab7bfb6b74ffa7cc9e8d7b6e5ed2&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d34ff8f1c5a38b07fa8b2d3d15e755a2
CCTV05+++,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw4035956330_-1197773273/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130700&ContentId=265106763&timezone=UTC&mtv_session=b1d7170ccd660150baa2e9435d787064&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=dfe2cfbc447ddc224a226f33be3d0f39
CCTV05咪咕,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3939139141_-877857276/wd_r2/cctv/cctv5hdnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130523&ContentId=265667565&timezone=UTC&mtv_session=e95834282573288096f63eab8a028447&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=12a070f46793605fdbff0e1132d2d0d8
CCTV06咪咕,http://hms424nc1972679598.live.aikan.miguvideo.com/wh7f454c46tw2025729208_-189538202/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115084415&ContentId=265667482&timezone=UTC&mtv_session=0ac4193cdf07336c58fe3cdb4aac34a4&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=158f70fd4d75270c1810f0c735e78e18
CCTV07咪咕,http://hms284nc1972679584.live.aikan.miguvideo.com/wh7f454c46tw4211155753_-1040212167/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130955&ContentId=265667268&timezone=UTC&mtv_session=f4a3cbeaf77fa614aed3843cb206bc06&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=38b55b6566aab32075f6169e2d955603
CCTV08咪咕,http://hms84nc1972679564.live.aikan.miguvideo.com/wh7f454c46tw2243817462_1836799824/wd_r2/ocn/cctv8hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115084753&ContentId=265667466&timezone=UTC&mtv_session=077374df50cdebf0ab55b2ec30d2f01a&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8b9b358180e9e344fe45e67912ce6985
CCTV09咪咕,http://hms444nc1972679601.live.aikan.miguvideo.com/wh7f454c46tw4260577431_-1084507862/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208131044&ContentId=265667202&timezone=UTC&mtv_session=9444a4df4cb7524a1ec85c4d44200abc&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=efdbccd2a72ff1ba2eabbf08f475f7c6
CCTV10咪咕,http://hms424nc1972679599.live.aikan.miguvideo.com/wh7f454c46tw2383135402_1265174830/wd_r2/ocn/cctv10hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115085013&ContentId=265667631&timezone=UTC&mtv_session=451a79654bec6f8926b5017302146772&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=e74690616e29be77ff1a1992b303b861
CCTV11咪咕,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV11咪咕,http://59.47.226.94:8880/sql/2602/hls.m3u8
CCTV12咪咕,http://hms204nc1972679577.live.aikan.miguvideo.com/wh7f454c46tw1174495643_-1245391177/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020243&ContentId=265667607&timezone=UTC&mtv_session=7581c6271c0379b8ca8b268ff7804765&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3906a8574a42ff13aba3e255be4cd8e3
CCTV13咪咕,http://hms184nc1972679575.live.aikan.miguvideo.com/wh7f454c46tw946205927_-649996709/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208132705&ContentId=265667474&timezone=UTC&mtv_session=36bf599c0c4bc785fd46aaf0ba40ffe7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=91a8a1c4652526079a5b0e294d5bc18d
CCTV14咪咕,http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw1297666621_-728046298/wd_r2/ocn/cctv14hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020446&ContentId=265667325&timezone=UTC&mtv_session=ad6cfd6b6dabe31801ca54a4c87f1bac&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2757ab80a8dee98edfcfd1ee767a17b8
CCTV15咪咕,http://hms504nc1972679606.live.aikan.miguvideo.com/wh7f454c46tw1387986390_1468621622/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020617&ContentId=265667535&timezone=UTC&mtv_session=e1254803553b7cace3a119612bf266d8&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7ba98a3a39d853487109bebe5ed31c43
CCTV16咪咕,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV16咪咕,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV17咪咕,http://hms224nc1972679578.live.aikan.miguvideo.com/wh7f454c46tw1594433061_461954091/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208133753&ContentId=265667526&timezone=UTC&mtv_session=2ab00b83c917e8ba1b1bb082711b8b77&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4c04c5308e4761e3cc4b36134b05b864

CCTV01联通HD,http://lovegfs.top:8000/udp/239.120.1.120:8778
CCTV02联通HD,http://lovegfs.top:8000/udp/239.120.1.223:9484
CCTV03联通HD,http://lovegfs.top:8000/udp/239.120.1.88:9420
CCTV04联通HD,http://lovegfs.top:8000/udp/239.120.1.43:8232
CCTV04联通HD,http://lovegfs.top:8000/udp/239.120.1.159:9012
CCTV5+联通HD,http://lovegfs.top:8000/udp/239.120.1.245:9428
CCTV05联通HD,http://lovegfs.top:8000/udp/239.120.1.46:8248
CCTV06联通HD,http://lovegfs.top:8000/udp/239.120.1.49:8252
CCTV07联通HD,http://lovegfs.top:8000/udp/239.120.1.224:9490
CCTV08联通HD,http://lovegfs.top:8000/udp/239.120.1.50:8308
CCTV09联通HD,http://lovegfs.top:8000/udp/239.120.1.227:9496
CCTV10联通HD,http://lovegfs.top:8000/udp/239.120.1.250:9448
CCTV11联通HD,http://lovegfs.top:8000/udp/239.120.1.163:9036
CCTV12联通HD,http://lovegfs.top:8000/udp/239.120.1.230:9502
CCTV13联通HD,http://lovegfs.top:8000/udp/239.120.1.165:9048
CCTV14联通HD,http://lovegfs.top:8000/udp/239.120.1.193:8284
CCTV15联通HD,http://lovegfs.top:8000/udp/239.120.1.167:9060

🌏全球 👉天,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
中國環球,http://live.cgtn.com/500/prog_index.m3u8
华文一台,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
华文二台,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
华文六台,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1662611110-0-0-cf20c4fcf669736034b6ceac0d01d403
半岛新闻,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/xztv/4gtv.php?id=litv-ftv10
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
金砖英文,http://brics.bonus-tv.ru/cdn/brics/english/tracks-v1a1/index.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
朝鲜新闻,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
俄罗斯台,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
日本华语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
日本新闻,https://n24-cdn-live.ntv.co.jp:443/ch01/high.m3u8
日本新闻,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
美国频道,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8
美国中文,https://jpts.sinovision.net/livestream.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
环球频道,http://live.cgtn.com/500/prog_index.m3u8
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
CNA频道,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
法·时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
泰·公共,http://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
欧洲体育,http://europa-crtvg.flumotion.com/playlist.m3u8
欧洲华文,http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe 
欧洲华文,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
欧洲华文,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39 
美国中文,https://jpts.sinovision.net/livestream.m3u8 
美国中文,https://cdnts.sinovision.net/livestream.m3u8 
动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4k地理台,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
地理野生,http://admdn2.cdn.mangomolo.com/nagtv/smil:nagtv.stream.smil/chunklist_b800000_t64NDgwcA==.m3u8
地理频道,https://inwild-samsungindia.amagi.tv/playlist.m3u8

📡湾湾 👉下,#genre#

TVbs新闻,https://fsv4.yj011.net/sat/tv551.flv
三立新聞,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
民视频道,rtmp://9sv2.mine.nu/sat/tv051
台视频道,rtmp://9sv2.mine.nu/sat/tv071
中视频道,rtmp://9sv2.mine.nu/sat/tv091
华视频道,rtmp://9sv2.mine.nu/sat/tv111
东森财经,https://fsv4.yj011.net/sat/tv571.flv
台视新闻,https://fsv4.yj011.net/sat/tv071.flv
华视新闻,https://fsv4.yj011.net/sat/tv111.flv
中视新闻,https://fsv4.yj011.net/sat/tv091.flv
三立台湾,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
中天娱乐,http://162.19.247.76:22222/live/ztyl/index.m3u8
中视频道,http://162.19.247.76:22222/live/zhongshi/index.m3u8
台视频道,http://162.19.247.76:22222/live/taishi/index.m3u8
华视频道,http://162.19.247.76:22222/live/huashi/index.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

📡湖北 👉祝,#genre#
荆州新闻,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv01.m3u8?auth_key=1704038399-0-0-9b2442b7b11f661edfe71bc7a3a3a5a2
荆州垄上,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv03.m3u8?auth_key=1704038399-0-0-a0b56187fea04cf4f776c0b23cf5f547
荆州公共,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv02.m3u8?auth_key=1704038399-0-0-35f354ebd7cf85af1104fa76d623c1c6
江陵综合,http://jiangling-live21.cjyun.org/10090/s10090-jltv01.m3u8?auth_key=1704038399-0-0-bf99cff97b68e2bec58f626f876f75f3
江陵经济生活,http://jiangling-live21.cjyun.org/10090/s10090-jltv02.m3u8?auth_key=1704038399-0-0-b9e3fdf662c0b3e550dd4f06836b2b39
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
江夏新闻综合,http://59.175.226.142:280/gb28181/xwzh.m3u8?zhubd
